Index | Field Name
------|------------------------------
  0   | IsRaceOn
  1   | TimestampMS
  2   | EngineMaxRpm
  3   | EngineIdleRpm
  4   | CurrentEngineRpm
  5   | AccelerationX
  6   | AccelerationY
  7   | AccelerationZ
  8   | VelocityX
  9   | VelocityY
  10  | VelocityZ
  11  | AngularVelocityX
  12  | AngularVelocityY
  13  | AngularVelocityZ
  14  | Yaw
  15  | Pitch
  16  | Roll
  17  | NormalizedSuspensionTravelFrontLeft
  18  | NormalizedSuspensionTravelFrontRight
  19  | NormalizedSuspensionTravelRearLeft
  20  | NormalizedSuspensionTravelRearRight
  21  | TireSlipRatioFrontLeft
  22  | TireSlipRatioFrontRight
  23  | TireSlipRatioRearLeft
  24  | TireSlipRatioRearRight
  25  | WheelRotationSpeedFrontLeft
  26  | WheelRotationSpeedFrontRight
  27  | WheelRotationSpeedRearLeft
  28  | WheelRotationSpeedRearRight
  29  | WheelOnRumbleStripFrontLeft
  30  | WheelOnRumbleStripFrontRight
  31  | WheelOnRumbleStripRearLeft
  32  | WheelOnRumbleStripRearRight
  33  | WheelInPuddleDepthFrontLeft
  34  | WheelInPuddleDepthFrontRight
  35  | WheelInPuddleDepthRearLeft
  36  | WheelInPuddleDepthRearRight
  37  | SurfaceRumbleFrontLeft
  38  | SurfaceRumbleFrontRight
  39  | SurfaceRumbleRearLeft
  40  | SurfaceRumbleRearRight
  41  | TireSlipAngleFrontLeft
  42  | TireSlipAngleFrontRight
  43  | TireSlipAngleRearLeft
  44  | TireSlipAngleRearRight
  45  | TireCombinedSlipFrontLeft
  46  | TireCombinedSlipFrontRight
  47  | TireCombinedSlipRearLeft
  48  | TireCombinedSlipRearRight
  49  | SuspensionTravelMetersFrontLeft
  50  | SuspensionTravelMetersFrontRight
  51  | SuspensionTravelMetersRearLeft
  52  | SuspensionTravelMetersRearRight
  53  | CarOrdinal
  54  | CarClass
  55  | CarPerformanceIndex
  56  | DrivetrainType
  57  | NumCylinders
  58  | PositionX
  59  | PositionY
  60  | PositionZ
  61  | Speed
  62  | Power
  63  | Torque
  64  | TireTempFrontLeft
  65  | TireTempFrontRight
  66  | TireTempRearLeft
  67  | TireTempRearRight
  68  | Boost
  69  | Fuel
  70  | DistanceTraveled
  71  | BestLap
  72  | LastLap
  73  | CurrentLap
  74  | CurrentRaceTime
  75  | LapNumber
  76  | RacePosition
  77  | Accel
  78  | Brake
  79  | Clutch
  80  | HandBrake
  81  | Gear
  82  | Steer
  83  | NormalizedDrivingLine
  84  | NormalizedAIBrakeDifference
  85  | TireWearFrontLeft
  86  | TireWearFrontRight
  87  | TireWearRearLeft
  88  | TireWearRearRight
  89  | TrackOrdinal
